lang,author,period,year,title,variant,rep,n_ipi,alpha,beta,winner,weibull_delta_aic,geometric_delta_aic,nbinom_delta_aic,lognormal_delta_aic
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,8,54768,0.9950096839839466,6.588260397420129,nbinom,0.38607418606989086,0.39141564606688917,0.0,9613.456524528912
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,9,54768,0.9984266684683936,6.598179405748127,geometric,1.8010499580414034,0.0,1.8569379995460622,9609.116754828836
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,10,54768,1.002072854691391,6.608627578838499,geometric,1.656037807581015,0.0,1.5115106315352023,9662.45832224749
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,11,54768,1.0042595698020693,6.614728828276103,geometric,0.5580602856935002,0.0,0.8698660261579789,9885.778625286359
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,12,54768,0.9948135846483216,6.588070021930361,nbinom,0.42212636274052784,0.5850506197893992,0.0,9760.033248746593
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,13,54768,1.0088114974855777,6.6274977476512476,nbinom,0.6941306629450992,4.864870448305737,0.0,9603.979733802495
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,14,54768,1.0016170170088765,6.607098878919286,geometric,1.7906510750181042,0.0,1.7311223591677845,9595.474770665402
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,15,54768,1.0042545672146521,6.6145697191896655,geometric,0.5571495310286991,0.0,0.40574218734400347,9783.209550736181
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,16,54768,1.007051666489225,6.622810912912732,nbinom,1.576012821868062,3.550840762560256,0.0,9419.854093466885
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,17,54768,1.003101942256115,6.6111721097150395,geometric,1.2337471154751256,0.0,1.3529286729753949,9787.671097160899
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,18,54768,0.9997053669879412,6.602069594624315,geometric,1.993051134631969,0.0,1.9967469472903758,9819.442317825626
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,19,54768,1.0027058309617696,6.6105368226560675,geometric,1.413060916296672,0.0,1.122722613683436,9452.537166165712
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,20,54768,1.0008013473785975,6.605018435532513,geometric,1.9486959100468084,0.0,1.9618319894652814,9827.754812300089
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,21,54768,0.9986821783059384,6.598802537857889,geometric,1.8605839684023522,0.0,1.922576056967955,9770.967264514358
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,22,54768,0.9947122794217802,6.587563445703351,weibull,0.0,0.26270004926482216,0.6079290506313555,9511.150759873039
